Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 3 / 4 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -100.521
5 / 3 / 5 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -94.7074
5 / 3 / 6 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -94.2014
5 / 3 / 7 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -88.4775
5 / 3 / 8 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -87.7196
5 / 3 / 9 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -82.0872
5 / 3 / 10 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -81.0707
5 / 3 / 11 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -75.5323
5 / 3 / 12 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -74.2507
5 / 3 / 13 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -68.8087
5 / 3 / 14 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -67.2551
5 / 3 / 15 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -61.9119
5 / 3 / 16 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -60.0793
5 / 3 / 17 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -54.8375
5 / 3 / 18 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -52.7187
5 / 3 / 19 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -47.581
5 / 3 / 20 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -45.1686
5 / 3 / 21 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -40.1376
5 / 3 / 22 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -37.4241
5 / 3 / 23 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.1093 / 15.1093 / -32.5025
5 / 3 / 24 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48144 / 15.5367 / 15.5367 / -29.4802
